Uni. / Nominal;Nome do TŪtulo;ISIN;Ticker (Yahoo Finance);PreÁo Mťdio Compra
5,906503;AIS-Amundi S&P 500 Swap U.ETF;LU1681048804;500.PA;106,42
10,522068;IShs Core MSCI EM IMI U.ETF;IE00BKM4GZ66;IS3N.DE;33,36
4,483454;BNP Paribas S.A.;FR0000131104;BNP.PA;67,9
2,24712;NVIDIA Corp.;US67066G1040;NVDA;124,69
26,218292;BYD Co. Ltd.;CNE100000296;1211.HK;14,8
8,939585;Xtrackers MSCI China A U.ETF;LU0292109856;XCHA.DE;29,98
0,35891;IShs VII-Core S&P 500 U.ETF;IE00B5BMR087;SXR8.DE;576,2
3,412715;VanEck Semiconductor UC.ETF;IE00BMC38736;VVSM.DE;38,69
5,375639;XtrackersIIESG GI.Ag.Bd U ETF;LU0942970103;XBAG.DE;35,62
0,56116;Taiwan Semiconduct. Manufact.Co;US8740391003;TSM;178,2
2,970133;Realty Income Corp.;US7561091049;O;51,75
15,942194;IShs IV-IShs OMX Stock. Cap.U.E;IE00BD3RYZ16;ISX5.DE;7,84
4,040333;IShsV-S&P 500 Inf.Te.Sec.U.ETF;IE00B3WJKG14;QDVE.DE;29,8
5,885128;MUL-AMUNDI MSCI Japan U.ETF;LU1781541252;PMEU.PA;16,99
12,198612;IShsilGI.Clean -Ener.Tra.U.ETF;IE00B1XNHC34;IQQH.DE;7,82
2,358573;Main Street Capital Corp.;US56035L1044;MAIN;50,88
16,448448;AIS-Amundi MSCI Em.Ma.Swap;LU1681045370;AEEM.PA;5,47
20,776479;IShsIV-MSCI China A UCITS ETF;IE00BQT3WG13;ICHA.DE;4,33
13,906377;Inv.Mkt.II-FTSE All-Wid U.E.;IE000716YHJ7;FWIA.DE;6,47
5,965419;Ares Capital Corp.;US04010L1035;ARCC;20,12
1,212343;IShsIV-DL Sh.Du.H.Y.C.Bd U.ETF;IE00BCRY6003;IHYG.DE;82,48
3,524;Vici Properties Inc.;US9256521090;VICI;28,38
2,561435;Deutsche Telekom AG;DE0005557508;DTE.DE;31,23
1,989853;DBS Group Holdings Ltd.;SG1L01001701;D05.SI;25,13
0,559955;AIS-AMUNDI CAC 40 ESG;LU1681046931;C40.PA;135,73
0,606356;UBS Core MSCI EM UCITS ETF;LU0480132876;EMUSA.DE;98,95
2,873743;IShall-Global Water UCITS ETF;IE000CFH1JX2;IQQG.DE;23,73
5;Sociťtť Gťnťrale - Turbol. O.End Gold;DE000SX0HC16;SX0HC1.DE;5,81
6,415454;IShs-AEX UCITS ETF;IE00BMTX2B82;IAEX.AS;8,99
10,730253;NOS, SGPS, S.A.;PTZONOAM0006;NOS.LS;3,73
6,339647;FS KKR Capital Corp.;US3026352068;FSK;18,93
1,535303;AMG Critical Materials N.V;NL0000888691;AMG.AS;19,54
3,22479;Crťdit Agricole S.A.;FR0000045072;ACA.PA;15,87
60;Banco Com. PortuguÍs SA - BCP;PTBCP0AM0015;BCP.LS;0,517
2;ING Groep N.V.;US4568371037;ING;17
0,166583;VISA Inc.;US92826C8394;V;300,15
5;IShsIV-Digital Security UC.ETF;IE00BG0J4C88;2B7F.DE;7,46
0,25476;Airbus SE;NL0000235190;AIR.PA;157,01
4,266483;Banco Santander S.A.;ES0113900J37;SAN.MC;7,05
1;Vontobel - TurboC O.End Crude Oll 65,53;DE000VJ7A3L5;VJ7A3L.DE;5,51
1,17647;Porsche Automobil Holding SE;DE0O0PAH0038;PAH3.DE;51
1;ACM Research Inc.;US00108J1097;ACMR;22,27
1,151316;Flow Traders Ltd;BMG3602E1084;FLOW.AS;26,06
2;Galaxy Digital Inc.;US36317J2096;GLXY.TO;9,94
22,970557;Vodafone Group PLC;GBOOBH4HKS39;VOD.L;0,871
0,019535;Mercadolibre Inc.;US58733R1023;MELI;2047,61
2;IShsiV-Automation&Robot.U.ETF;IEOOBYZK4552;2B7G.DE;12,78
0,21663;Sopra Steria Group S.A.;FR0000050809;SOP.PA;185,39
27;Sociťtť Gťnťrale - MiniL O.End CBOE VIX;DE000SJ9WZV6;SJ9WZV.DE;0,753
10;Sonae-SOPS, S.A.;PTSON0AM0001;SON.LS;1,048
6,259622;BYD Electronic (Intl) Co. Ltd.;HK0285041858;0285.HK;4,79
1,29802;InMode Ltd.;IL0011595993;INMD;15,41
0,583657;Deutsche Bank AG;DE0005140008;DBK.DE;17,13
0,636942;SEMAPA-Soc.Inv.e Gest.SGPS SA;PTSEM0AM0004;SEM.LS;17,27
2,844141;EDP S.A.;PTEDPOAM0009;EDP.LS;3,87
10;Sociťtť Gťnťrale - TRACKER Trade Republic Water T;DEO00SQ4SUS3;SQ4SUS.DE;1,193
2,724795;Faes Farma S.A.;ES0134950F36;FAE.MC;4,04
1;Nu Holdings Ltd.;KYG6683N1034;NU;12,1
4,134323;Digital Turbine Inc.;US25400W1027;APPS;4,84
2,752546;BlackBerry Ltd.;CA09228F1036;BB.TO;4
1;Iovance Biotherapeutics Inc.;US4622601007;IOVA;11,46
